ordering_idx,ordering,ordering_label,npz_path,sigma_hash,chi_align,chi_twist,predominant_ordering,mean_free_all_goals,mean_info_all_goals,mean_value_all_goals,ordering_str,predominant_ordering_str
10,"(1, 3, 0, 2)","[E, W, N, S]",/home/karen/phd-marlyn/gridFour/notebooks/alife-relabelled-actions/four_rooms/assets/global_ordering_comparison/ordering_npz/ordering_10_E-W-N-S.npz,cb630af3ddd97aa39427d786d15f5ca1,1.0,0.0,"(1, 3, 0, 2)",11.277334213256836,4.299263954162598,-6.978055000305176,"[E, W, N, S]","[E, W, N, S]"
11,"(1, 3, 2, 0)","[E, W, S, N]",/home/karen/phd-marlyn/gridFour/notebooks/alife-relabelled-actions/four_rooms/assets/global_ordering_comparison/ordering_npz/ordering_11_E-W-S-N.npz,20003f484583775f42c63f43d5d9c3e2,1.0,0.0,"(1, 3, 2, 0)",11.277334213256836,4.299263954162598,-6.978055000305176,"[E, W, S, N]","[E, W, S, N]"
12,"(2, 0, 1, 3)","[S, N, E, W]",/home/karen/phd-marlyn/gridFour/notebooks/alife-relabelled-actions/four_rooms/assets/global_ordering_comparison/ordering_npz/ordering_12_S-N-E-W.npz,b6dbafeaedd76002de73bd19397cfb7b,1.0,0.0,"(2, 0, 1, 3)",11.277334213256836,4.299263954162598,-6.978055000305176,"[S, N, E, W]","[S, N, E, W]"
13,"(2, 0, 3, 1)","[S, N, W, E]",/home/karen/phd-marlyn/gridFour/notebooks/alife-relabelled-actions/four_rooms/assets/global_ordering_comparison/ordering_npz/ordering_13_S-N-W-E.npz,1baeb2f7428af27513097cbdd494030d,1.0,0.0,"(2, 0, 3, 1)",11.277334213256836,4.299263954162598,-6.978055000305176,"[S, N, W, E]","[S, N, W, E]"
14,"(2, 1, 0, 3)","[S, E, N, W]",/home/karen/phd-marlyn/gridFour/notebooks/alife-relabelled-actions/four_rooms/assets/global_ordering_comparison/ordering_npz/ordering_14_S-E-N-W.npz,727c693f93e9cbf74fc2b966d0dde299,1.0,0.0,"(2, 1, 0, 3)",11.277334213256836,4.299263954162598,-6.978055000305176,"[S, E, N, W]","[S, E, N, W]"
15,"(2, 1, 3, 0)","[S, E, W, N]",/home/karen/phd-marlyn/gridFour/notebooks/alife-relabelled-actions/four_rooms/assets/global_ordering_comparison/ordering_npz/ordering_15_S-E-W-N.npz,44b599334ec416e825cbf978d6e4e5aa,1.0,0.0,"(2, 1, 3, 0)",11.277334213256836,4.299263954162598,-6.978055000305176,"[S, E, W, N]","[S, E, W, N]"
16,"(2, 3, 0, 1)","[S, W, N, E]",/home/karen/phd-marlyn/gridFour/notebooks/alife-relabelled-actions/four_rooms/assets/global_ordering_comparison/ordering_npz/ordering_16_S-W-N-E.npz,6d87ab0b9d394df2026c10a5105d7717,1.0,0.0,"(2, 3, 0, 1)",11.277334213256836,4.299263954162598,-6.978055000305176,"[S, W, N, E]","[S, W, N, E]"
17,"(2, 3, 1, 0)","[S, W, E, N]",/home/karen/phd-marlyn/gridFour/notebooks/alife-relabelled-actions/four_rooms/assets/global_ordering_comparison/ordering_npz/ordering_17_S-W-E-N.npz,33f18307082936a9a252962ffbd00386,1.0,0.0,"(2, 3, 1, 0)",11.277334213256836,4.299263954162598,-6.978055000305176,"[S, W, E, N]","[S, W, E, N]"
18,"(3, 0, 1, 2)","[W, N, E, S]",/home/karen/phd-marlyn/gridFour/notebooks/alife-relabelled-actions/four_rooms/assets/global_ordering_comparison/ordering_npz/ordering_18_W-N-E-S.npz,6a1ba41fb0a65010b6f059ac1171e752,1.0,0.0,"(3, 0, 1, 2)",11.277334213256836,4.299263954162598,-6.978055000305176,"[W, N, E, S]","[W, N, E, S]"
19,"(3, 0, 2, 1)","[W, N, S, E]",/home/karen/phd-marlyn/gridFour/notebooks/alife-relabelled-actions/four_rooms/assets/global_ordering_comparison/ordering_npz/ordering_19_W-N-S-E.npz,eb9e496b6f10b5fc7fe14ae60bd72df5,1.0,0.0,"(3, 0, 2, 1)",11.277334213256836,4.299263954162598,-6.978055000305176,"[W, N, S, E]","[W, N, S, E]"
20,"(3, 1, 0, 2)","[W, E, N, S]",/home/karen/phd-marlyn/gridFour/notebooks/alife-relabelled-actions/four_rooms/assets/global_ordering_comparison/ordering_npz/ordering_20_W-E-N-S.npz,8c6a0b830203d6363c6f3951e0aecb32,1.0,0.0,"(3, 1, 0, 2)",11.277334213256836,4.299263954162598,-6.978055000305176,"[W, E, N, S]","[W, E, N, S]"
21,"(3, 1, 2, 0)","[W, E, S, N]",/home/karen/phd-marlyn/gridFour/notebooks/alife-relabelled-actions/four_rooms/assets/global_ordering_comparison/ordering_npz/ordering_21_W-E-S-N.npz,2996abcdef66b99d9b3654f1039c50c1,1.0,0.0,"(3, 1, 2, 0)",11.277334213256836,4.299263954162598,-6.978055000305176,"[W, E, S, N]","[W, E, S, N]"
22,"(3, 2, 0, 1)","[W, S, N, E]",/home/karen/phd-marlyn/gridFour/notebooks/alife-relabelled-actions/four_rooms/assets/global_ordering_comparison/ordering_npz/ordering_22_W-S-N-E.npz,18fd5cfa840d492f18252d27c5b00976,1.0,0.0,"(3, 2, 0, 1)",11.277334213256836,4.299263954162598,-6.978055000305176,"[W, S, N, E]","[W, S, N, E]"
23,"(3, 2, 1, 0)","[W, S, E, N]",/home/karen/phd-marlyn/gridFour/notebooks/alife-relabelled-actions/four_rooms/assets/global_ordering_comparison/ordering_npz/ordering_23_W-S-E-N.npz,e3c10559dc0b3c93c53f8c3f1d6c16e0,1.0,0.0,"(3, 2, 1, 0)",11.277334213256836,4.299263954162598,-6.978055000305176,"[W, S, E, N]","[W, S, E, N]"
