label,n_basins,largest_basin,cycle_lengths,n_walls,output,environment,shape,run_name,sigma_hash,sigma_path
S,7,13,1;1;1;1;1;1;1,17,F-basins-pinwheel7.png,pinwheel,7x7,g200-pop-96-perm-bal-06-06-b1-free-ga-pinwheel-7x7-k100-sp3011-16,996cf8089efef6526d2510a089a2408a,/media/merlin/grid-twist/data-schema-10/multi/init_method=perm_balanced/env_id=pinwheel/shape=7x7/beta=1/det=0.97/run_name=g200-pop-96-perm-bal-06-06-b1-free-ga-pinwheel-7x7-k100-sp3011-16/g200-pop-96-perm-bal-06-06-b1-free-ga-pinwheel-7x7-k100-sp3011-16-multi-all.sigma.npy
W,28,2,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,17,F-basins-pinwheel7.png,pinwheel,7x7,g200-pop-96-perm-bal-06-06-b1-free-ga-pinwheel-7x7-k100-sp3011-16,996cf8089efef6526d2510a089a2408a,/media/merlin/grid-twist/data-schema-10/multi/init_method=perm_balanced/env_id=pinwheel/shape=7x7/beta=1/det=0.97/run_name=g200-pop-96-perm-bal-06-06-b1-free-ga-pinwheel-7x7-k100-sp3011-16/g200-pop-96-perm-bal-06-06-b1-free-ga-pinwheel-7x7-k100-sp3011-16-multi-all.sigma.npy
N,9,97,2;2;2;2;2;2;2;2;2,0,F-basins-wrap13.png,wrap_grid,13x13,g1000-pop-96-perm-bal-04-07-b1-free-ga-wrap-grid-13x13-s316-warm-sp3011-07,24933c345de9c38539c5e2eb26fefd20,/media/merlin/grid-twist/data-schema-10/multi/init_method=perm_balanced/env_id=wrap_grid/shape=13x13/beta=1/det=0.97/run_name=g1000-pop-96-perm-bal-04-07-b1-free-ga-wrap-grid-13x13-s316-warm-sp3011-07/g1000-pop-96-perm-bal-04-07-b1-free-ga-wrap-grid-13x13-s316-warm-sp3011-07-multi-all.sigma.npy
E,1,169,6,0,F-basins-wrap13.png,wrap_grid,13x13,g1000-pop-96-perm-bal-04-07-b1-free-ga-wrap-grid-13x13-s316-warm-sp3011-07,24933c345de9c38539c5e2eb26fefd20,/media/merlin/grid-twist/data-schema-10/multi/init_method=perm_balanced/env_id=wrap_grid/shape=13x13/beta=1/det=0.97/run_name=g1000-pop-96-perm-bal-04-07-b1-free-ga-wrap-grid-13x13-s316-warm-sp3011-07/g1000-pop-96-perm-bal-04-07-b1-free-ga-wrap-grid-13x13-s316-warm-sp3011-07-multi-all.sigma.npy
S,3,141,4;2;2,0,F-basins-wrap13.png,wrap_grid,13x13,g1000-pop-96-perm-bal-04-07-b1-free-ga-wrap-grid-13x13-s316-warm-sp3011-07,24933c345de9c38539c5e2eb26fefd20,/media/merlin/grid-twist/data-schema-10/multi/init_method=perm_balanced/env_id=wrap_grid/shape=13x13/beta=1/det=0.97/run_name=g1000-pop-96-perm-bal-04-07-b1-free-ga-wrap-grid-13x13-s316-warm-sp3011-07/g1000-pop-96-perm-bal-04-07-b1-free-ga-wrap-grid-13x13-s316-warm-sp3011-07-multi-all.sigma.npy
W,7,132,2;2;2;2;2;2;2,0,F-basins-wrap13.png,wrap_grid,13x13,g1000-pop-96-perm-bal-04-07-b1-free-ga-wrap-grid-13x13-s316-warm-sp3011-07,24933c345de9c38539c5e2eb26fefd20,/media/merlin/grid-twist/data-schema-10/multi/init_method=perm_balanced/env_id=wrap_grid/shape=13x13/beta=1/det=0.97/run_name=g1000-pop-96-perm-bal-04-07-b1-free-ga-wrap-grid-13x13-s316-warm-sp3011-07/g1000-pop-96-perm-bal-04-07-b1-free-ga-wrap-grid-13x13-s316-warm-sp3011-07-multi-all.sigma.npy
N,11,57,1;4;1;1;1;1;1;1;1;1;1,13,F-basins-fourrooms9-g1000.png,four_rooms,9x9,g1000-pop-96-perm-bal-20-06-b1-free-ga-four-rooms-9x9-k100-seedmatch-sp3011-02,f5d5c81bfd2c7fc895e4d3834a0292aa,/media/merlin/grid-twist/gridtwist-outputs/g1000-pop-96-perm-bal-20-06-b1-free-Ksweep-9x9-four-rooms-seedmatch/g1000-pop-96-perm-bal-20-06-b1-free-ga-four-rooms-9x9-k100-seedmatch-sp3011-02/hive_sigma/shape=9x9/env_id=four_rooms/neighbourhood=manhattan/state_dist=uniform/det=0.97/eps=0.75/beta=1/goal_mode=all/goal_set=bdcdcc349c175472/sigma_id=f5d5c81bfd2c7fc895e4d3834a0292aa/sigma.npy
E,16,34,1;4;2;1;1;1;1;1;1;1;1;1;1;1;1;1,13,F-basins-fourrooms9-g1000.png,four_rooms,9x9,g1000-pop-96-perm-bal-20-06-b1-free-ga-four-rooms-9x9-k100-seedmatch-sp3011-02,f5d5c81bfd2c7fc895e4d3834a0292aa,/media/merlin/grid-twist/gridtwist-outputs/g1000-pop-96-perm-bal-20-06-b1-free-Ksweep-9x9-four-rooms-seedmatch/g1000-pop-96-perm-bal-20-06-b1-free-ga-four-rooms-9x9-k100-seedmatch-sp3011-02/hive_sigma/shape=9x9/env_id=four_rooms/neighbourhood=manhattan/state_dist=uniform/det=0.97/eps=0.75/beta=1/goal_mode=all/goal_set=bdcdcc349c175472/sigma_id=f5d5c81bfd2c7fc895e4d3834a0292aa/sigma.npy
S,22,31,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,13,F-basins-fourrooms9-g1000.png,four_rooms,9x9,g1000-pop-96-perm-bal-20-06-b1-free-ga-four-rooms-9x9-k100-seedmatch-sp3011-02,f5d5c81bfd2c7fc895e4d3834a0292aa,/media/merlin/grid-twist/gridtwist-outputs/g1000-pop-96-perm-bal-20-06-b1-free-Ksweep-9x9-four-rooms-seedmatch/g1000-pop-96-perm-bal-20-06-b1-free-ga-four-rooms-9x9-k100-seedmatch-sp3011-02/hive_sigma/shape=9x9/env_id=four_rooms/neighbourhood=manhattan/state_dist=uniform/det=0.97/eps=0.75/beta=1/goal_mode=all/goal_set=bdcdcc349c175472/sigma_id=f5d5c81bfd2c7fc895e4d3834a0292aa/sigma.npy
W,19,23,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1,13,F-basins-fourrooms9-g1000.png,four_rooms,9x9,g1000-pop-96-perm-bal-20-06-b1-free-ga-four-rooms-9x9-k100-seedmatch-sp3011-02,f5d5c81bfd2c7fc895e4d3834a0292aa,/media/merlin/grid-twist/gridtwist-outputs/g1000-pop-96-perm-bal-20-06-b1-free-Ksweep-9x9-four-rooms-seedmatch/g1000-pop-96-perm-bal-20-06-b1-free-ga-four-rooms-9x9-k100-seedmatch-sp3011-02/hive_sigma/shape=9x9/env_id=four_rooms/neighbourhood=manhattan/state_dist=uniform/det=0.97/eps=0.75/beta=1/goal_mode=all/goal_set=bdcdcc349c175472/sigma_id=f5d5c81bfd2c7fc895e4d3834a0292aa/sigma.npy
N,23,51,1;1;1;1;1;1;2;1;2;1;1;1;1;1;2;1;1;1;1;1;1;1;1,21,F-basins-fourrooms13.png,four_rooms,13x13,g1000-pop-96-perm-bal-04-07-b1-free-ga-four-rooms-13x13-s141-warm-sp3011-03,262d2e20440c7dc25adbe22fd3bc7e13,/media/merlin/grid-twist/data-schema-10/multi/init_method=perm_balanced/env_id=four_rooms/shape=13x13/beta=1/det=0.97/run_name=g1000-pop-96-perm-bal-04-07-b1-free-ga-four-rooms-13x13-s141-warm-sp3011-03/g1000-pop-96-perm-bal-04-07-b1-free-ga-four-rooms-13x13-s141-warm-sp3011-03-multi-all.sigma.npy
E,29,27,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1,21,F-basins-fourrooms13.png,four_rooms,13x13,g1000-pop-96-perm-bal-04-07-b1-free-ga-four-rooms-13x13-s141-warm-sp3011-03,262d2e20440c7dc25adbe22fd3bc7e13,/media/merlin/grid-twist/data-schema-10/multi/init_method=perm_balanced/env_id=four_rooms/shape=13x13/beta=1/det=0.97/run_name=g1000-pop-96-perm-bal-04-07-b1-free-ga-four-rooms-13x13-s141-warm-sp3011-03/g1000-pop-96-perm-bal-04-07-b1-free-ga-four-rooms-13x13-s141-warm-sp3011-03-multi-all.sigma.npy
S,25,33,4;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1,21,F-basins-fourrooms13.png,four_rooms,13x13,g1000-pop-96-perm-bal-04-07-b1-free-ga-four-rooms-13x13-s141-warm-sp3011-03,262d2e20440c7dc25adbe22fd3bc7e13,/media/merlin/grid-twist/data-schema-10/multi/init_method=perm_balanced/env_id=four_rooms/shape=13x13/beta=1/det=0.97/run_name=g1000-pop-96-perm-bal-04-07-b1-free-ga-four-rooms-13x13-s141-warm-sp3011-03/g1000-pop-96-perm-bal-04-07-b1-free-ga-four-rooms-13x13-s141-warm-sp3011-03-multi-all.sigma.npy
W,28,49,1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1,21,F-basins-fourrooms13.png,four_rooms,13x13,g1000-pop-96-perm-bal-04-07-b1-free-ga-four-rooms-13x13-s141-warm-sp3011-03,262d2e20440c7dc25adbe22fd3bc7e13,/media/merlin/grid-twist/data-schema-10/multi/init_method=perm_balanced/env_id=four_rooms/shape=13x13/beta=1/det=0.97/run_name=g1000-pop-96-perm-bal-04-07-b1-free-ga-four-rooms-13x13-s141-warm-sp3011-03/g1000-pop-96-perm-bal-04-07-b1-free-ga-four-rooms-13x13-s141-warm-sp3011-03-multi-all.sigma.npy
