reach_rank,sigma_hash,run_name,is_run_best,run_type,fitness_objective,fp_largest_basin_fraction,fp_mean_rho,fp_diameter,fp_n_basins,fp_cycle_basin_ratio,mean_free,mean_info,fitness_objective_recorded
11,df74b5fa0e27246994b354e44606bd16,g200-pop-96-perm-bal-21-06-b1-free-ga-four-rooms-7x7-s223-sp3011-03,True,multi,free_energy,0.5,3.81875,10.0,13.0,0.7589928432420693,9.929237213934531,3.1524483771133247,free_energy
12,6b89374a10ee33abd69a53fbb5f1dec8,g200-pop-96-perm-bal-20-03-b1-free-ga-four-rooms-sp3011-10,True,multi,free_energy,0.525,3.8,10.0,12.75,0.7438534762195477,10.034745618188515,3.102610865299706,free_energy
13,a304e016c1fff4aca2659911134cfc15,g200-pop-96-perm-bal-20-03-b1-free-ga-four-rooms-r3-sp3011-15,True,multi,free_energy,0.425,3.7375000000000003,11.0,12.75,0.7432621381886088,9.966960756978075,3.1633031421780027,free_energy
14,a3012be32148cf1e387ae3dda671d2a5,g200-pop-96-perm-bal-20-03-b1-di-ga-four-rooms-r2-sp3011-06,True,multi,decision_information,0.475,3.7125000000000004,11.0,12.75,0.7382831793311116,10.03314303638941,3.0848719778314795,decision_information
15,5db7aeaaf32ef477c2e694a12a023c21,g200-pop-96-perm-bal-20-03-b1-di-ga-four-rooms-r4-sp3011-14,True,multi,decision_information,0.45,3.70625,10.0,12.0,0.7260907495282496,9.993928804612764,2.9698289087770093,decision_information
16,24f7efa245c3ef5e3d44bd56508fc5c4,g200-pop-96-perm-bal-20-03-b1-di-ga-four-rooms-r3-sp3011-13,True,multi,decision_information,0.575,3.6625000000000005,10.0,13.25,0.7465538733609385,10.274963112811305,3.2603084783675684,decision_information
17,38dc1f6c680f29e247faa56b4f8fa98a,g200-pop-96-perm-bal-20-03-b1-di-ga-four-rooms-sp3011-05,True,multi,decision_information,0.525,3.64375,11.0,12.25,0.711864718515788,10.105005123976877,2.9984303936573466,decision_information
18,fc9fc1ff1d9051680d3454dd715ca740,g200-pop-96-perm-bal-18-03-b1-ga-four-rooms-sp3011-05,True,multi,decision_information_legacy,0.45,3.5999999999999996,12.0,12.0,0.6832038233107751,10.04137958246773,3.0780745225446275,
19,e9c5dc9ce5d18f43b7013cd21d8a534e,g200-pop-96-perm-bal-18-03-b1-ga-four-rooms-r2-sp3011-13,True,multi,decision_information_legacy,0.45,3.59375,11.0,12.25,0.7122319816621288,10.050818293742406,3.0521771264506743,
20,3f34e091ff1c1e0c47a111c9b541290c,g40-pop-96-perm-bal-17-03-b1-ga-four-rooms-r2-sp3011-14,True,multi,decision_information_legacy,0.4,3.5625,10.0,12.5,0.6886477632216269,10.218771339578293,3.159989108794608,
21,ad7d0932676af3ed454ca3407feda7cb,g100-pop-96-perm-bal-18-03-b1-ga-four-rooms-r2-sp3011-14,True,multi,decision_information_legacy,0.4,3.5,9.0,13.0,0.714099661912162,10.12570602722037,3.163855046765369,
22,9fe9f81db706bf2eb5bdd2840b65eb9c,g200-pop-96-perm-bal-18-03-b1-ga-four-rooms-r3-sp3011-14,True,multi,decision_information_legacy,0.425,3.46875,10.0,12.5,0.7243072466382703,10.293087835551322,3.088350251523725,
23,24f551168e0469f95eea9fce2d976824,prod-candidate-g200-b1-four-rooms-sp3011-09-20260309,True,multi,decision_information_legacy,0.375,3.45625,11.0,12.75,0.7085176682292067,9.976977711575334,3.0002690380011634,
24,6b6969e04653b9f7d1c142a2abd876b9,g40-pop-96-perm-bal-17-03-b1-ga-four-rooms-sp3011-05,True,multi,decision_information_legacy,0.375,3.3625,10.0,12.75,0.6953860375735376,10.109889460778806,3.2182507419081126,
